,Player,SGoffTheTee,SGteeToGreen,Par3 Scoring_Avergage,Par4 Scoring_Avergage,Ball Striking,Driving Accuracy,Total Putting,Scrambling,SG:AroundTheGreen,Rough Proximity,Birdie/Better_125-150,Total
32,Brandon Harkins,62,82,24,112,342,597,292,290,168,100,50,2119
63,Grayson Murray,31,70,164,85,303,477,354,336,93,59,164,2136
7,Jonathan Byrd,182,137,65,124,426,423,358,160,23,51,198,2147
11,Stewart Cink,92,58,159,76,276,480,284,364,192,22,146,2149
49,Satoshi Kodaira,86,178,154,161,324,135,290,402,206,163,73,2172
104,Jhonattan Vegas,60,98,147,154,423,435,372,122,151,179,39,2180
4,Scott Brown,160,171,81,93,453,324,212,244,87,186,177,2188
2,Aaron Baddeley,172,71,117,56,576,591,360,44,2,68,137,2194
59,Tom Lovelady,19,122,183,99,249,561,296,374,199,20,91,2213
97,Chris Stroud,192,173,167,152,561,249,238,140,138,158,81,2249
43,Whee Kim,198,197,109,172,585,414,48,176,169,181,7,2256
25,Robert Garrigus,121,90,43,127,336,522,396,342,149,117,65,2308
5,Wesley Bryan,206,190,118,140,603,504,98,280,65,122,28,2354
6,Sam Burns,70,142,133,169,375,612,6,372,203,182,93,2357
72,Martin Piller,156,195,114,186,579,462,132,218,147,75,102,2366
21,Martin Flores,143,127,68,156,495,570,366,312,130,102,199,2668
20,Derek Fathauer,197,192,42,188,612,594,206,322,129,30,171,2683
27,Cody Gribble,170,194,182,178,489,492,130,380,140,205,128,2688
38,Mackenzie Hughes,135,135,198,129,552,450,362,354,174,148,113,2750
95,Robert Streb,191,166,185,181,570,552,280,328,53,170,76,2752
41,Sung Kang,189,187,44,197,540,498,224,378,164,202,141,2764
42,Smylie Kaufman,204,206,206,206,594,618,250,406,198,61,162,3111
